2019-07-30T15:45:45.496-05:00[America/Chicago]  Failed
2019-07-30T15:46:17.244-05:00[America/Chicago] U04zhj Failed
2019-07-30T15:46:35.651-05:00[America/Chicago] U04zhj Failed
2019-07-30T15:46:40.419-05:00[America/Chicago] U04zhj Failed
2019-07-31T08:42:24.453-05:00[America/Chicago]  Failed
2019-07-31T08:42:40.694-05:00[America/Chicago] U04zhj Failed
2019-07-31T08:42:45.498-05:00[America/Chicago] U04zhj Failed
2019-07-31T08:43:30.226-05:00[America/Chicago] U04zhj Failed
2019-07-31T08:43:32.993-05:00[America/Chicago] U04zhj Failed
2019-07-31T09:06:22.938-05:00[America/Chicago]  Failed
2019-07-31T09:08:50.711-05:00[America/Chicago]  Failed
2019-07-31T09:09:13.889-05:00[America/Chicago]  Failed
2019-07-31T09:09:35.261-05:00[America/Chicago] U04zhj Failed
2019-07-31T09:09:38.428-05:00[America/Chicago] U04zhj Failed
2019-07-31T09:10:32.181-05:00[America/Chicago]  Failed
2019-07-31T09:10:49.717-05:00[America/Chicago] U04zhj Failed
2019-07-31T09:11:48.061-05:00[America/Chicago] U04zhj Failed
2019-07-31T09:59:26.639-05:00[America/Chicago] U04zhj Failed
2019-08-05T07:59:15.724-05:00[America/Chicago] U04zhj Failed
2019-08-05T07:59:21.289-05:00[America/Chicago] U04zhj Failed
2019-08-05T08:02:20.196-05:00[America/Chicago] U04zhj Failed
2019-08-05T08:06:35.795-05:00[America/Chicago] U04zhj Failed
2019-08-05T08:07:49.030-05:00[America/Chicago] user Failed
2019-08-05T08:08:26.960-05:00[America/Chicago] test Failed
2019-08-05T08:09:22.193-05:00[America/Chicago] test Failed
2019-08-05T08:22:10.450-05:00[America/Chicago] testuser Successful
2019-08-05T08:22:42.340-05:00[America/Chicago] testuser Successful
2019-08-05T09:38:18.647-05:00[America/Chicago] testuser Successful
2019-08-05T09:39:22.913-05:00[America/Chicago] testuser Successful
2019-08-05T09:46:02.014-05:00[America/Chicago] testuser Successful
2019-08-05T09:47:07.642-05:00[America/Chicago] testuser Successful
2019-08-05T09:48:34.188-05:00[America/Chicago] testuser Successful
2019-08-05T09:49:33.243-05:00[America/Chicago] testuser Successful
2019-08-05T10:08:43.155-05:00[America/Chicago] testuser Successful
2019-08-05T10:11:21.009-05:00[America/Chicago] testuser Successful
2019-08-05T10:49:13.501-05:00[America/Chicago] testuser Successful
2019-08-05T10:57:00.075-05:00[America/Chicago] testuser Successful
2019-08-05T12:09:04.344-05:00[America/Chicago] testuser Successful
2019-08-05T13:00:08.236-05:00[America/Chicago] testuser Successful
2019-08-05T13:32:10.761-05:00[America/Chicago] testuser Successful
2019-08-09T11:29:32.560-05:00[America/Chicago] testuser Successful
2019-08-09T11:31:18.964-05:00[America/Chicago] testuser Successful
2019-08-09T11:32:10.758-05:00[America/Chicago] testuser Successful
2019-08-09T11:35:02.815-05:00[America/Chicago] testuser Successful
2019-08-09T11:37:00.280-05:00[America/Chicago] testuser Successful
2019-08-09T14:22:43.192-05:00[America/Chicago]  testuser Failed
2019-08-09T14:22:49.636-05:00[America/Chicago]  testuser Failed
2019-08-09T14:22:54.864-05:00[America/Chicago]  testuser Failed
2019-08-09T14:22:59.603-05:00[America/Chicago] testuser Successful
2019-08-12T08:52:28.685-05:00[America/Chicago] testuser Successful
2019-08-12T08:53:08.780-05:00[America/Chicago] testuser Successful
2019-08-12T08:54:26.683-05:00[America/Chicago] testuser Failed
2019-08-12T08:54:32.832-05:00[America/Chicago] testuser Successful
2019-08-12T09:21:12.788-05:00[America/Chicago] testuser Successful
2019-08-12T09:24:45.201-05:00[America/Chicago] testuser Successful
2019-08-12T09:30:29.740-05:00[America/Chicago] testuser Successful
2019-08-12T09:32:41.013-05:00[America/Chicago] testuser Successful
2019-08-12T09:36:15.853-05:00[America/Chicago] testuser Successful
2019-08-12T10:54:55.641-05:00[America/Chicago] testuser Successful
2019-08-12T10:55:54.115-05:00[America/Chicago] testuser Successful
2019-08-12T10:56:39.696-05:00[America/Chicago] testuser Successful
2019-08-12T10:58:15.967-05:00[America/Chicago] testuser Successful
2019-08-12T11:01:44.196-05:00[America/Chicago] testuser Successful
2019-08-12T11:17:05.889-05:00[America/Chicago] testuser Successful
2019-08-12T12:21:51.846-05:00[America/Chicago] testuser Successful
2019-08-12T12:22:50.889-05:00[America/Chicago] testuser Successful
2019-08-12T12:23:52.784-05:00[America/Chicago] testuser Successful
2019-08-12T12:29:25.097-05:00[America/Chicago] testuser Successful
2019-08-12T12:32:06.870-05:00[America/Chicago] testuser Successful
2019-08-12T12:33:34.295-05:00[America/Chicago] testuser Successful
2019-08-12T13:46:31.335-05:00[America/Chicago] testuser Successful
2019-08-12T14:02:43.383-05:00[America/Chicago] testuser Successful
2019-08-12T14:09:53.617-05:00[America/Chicago] testuser Successful
2019-08-12T14:11:05.322-05:00[America/Chicago] testuser Successful
2019-08-12T14:34:34.839-05:00[America/Chicago] testuser Successful
2019-08-12T15:00:42.424-05:00[America/Chicago] testuser Successful
2019-08-13T14:45:18.039-05:00[America/Chicago] testuser Successful
2019-08-15T13:38:38.673-05:00[America/Chicago] testuser Successful
2019-08-15T13:47:02.181-05:00[America/Chicago] testuser Successful
2019-08-15T13:55:25.630-05:00[America/Chicago] testuser Successful
2019-08-15T13:58:24.073-05:00[America/Chicago] testuser Successful
2019-08-15T13:59:14.686-05:00[America/Chicago] testuser Successful
2019-08-15T14:01:14.309-05:00[America/Chicago] testuser Successful
2019-08-15T14:11:05.280-05:00[America/Chicago] testuser Successful
2019-08-15T14:14:36.895-05:00[America/Chicago] testuser Successful
2019-08-15T14:18:27.941-05:00[America/Chicago] testuser Successful
2019-08-15T14:41:56.297-05:00[America/Chicago] testuser Successful
2019-08-15T14:46:43.106-05:00[America/Chicago] testuser Successful
2019-08-15T14:58:12.495-05:00[America/Chicago] testuser Successful
2019-08-15T15:23:54.266-05:00[America/Chicago] testuser Successful
2019-08-15T15:49:10.053-05:00[America/Chicago] testuser Failed
2019-08-15T15:49:15.125-05:00[America/Chicago] testuser Successful
2019-08-15T15:50:00.351-05:00[America/Chicago] testuser Successful
2019-08-19T13:44:33.182-05:00[America/Chicago] testuser Successful
2019-08-19T13:45:39.697-05:00[America/Chicago] testuser Successful
2019-08-19T13:47:32.240-05:00[America/Chicago] testuser Successful
2019-08-19T15:02:41.847-05:00[America/Chicago] testuser Successful
2019-08-19T15:12:54.535-05:00[America/Chicago] testuser Successful
2019-08-20T08:07:10.147-05:00[America/Chicago] testuser Successful
2019-08-20T08:10:42.813-05:00[America/Chicago] testuser Successful
2019-08-20T08:16:48.440-05:00[America/Chicago] testuser Successful
2019-08-20T08:25:04.378-05:00[America/Chicago] testuser Successful
2019-08-20T08:42:32.176-05:00[America/Chicago] testuser Successful
2019-08-20T08:58:22.075-05:00[America/Chicago] testuser Successful
2019-08-20T09:05:51.298-05:00[America/Chicago] testuser Successful
2019-08-20T09:34:43.638-05:00[America/Chicago] testuser Successful
2019-08-21T07:56:35.611-05:00[America/Chicago] testuser Successful
2019-08-21T07:58:25.790-05:00[America/Chicago] testuser Successful
2019-08-21T08:24:58.304-05:00[America/Chicago] testuser Successful
2019-08-21T08:37:32.905-05:00[America/Chicago] testuser Successful
2019-08-21T08:56:33.315-05:00[America/Chicago] testuser Successful
2019-08-21T09:03:10.853-05:00[America/Chicago] testuser Successful
2019-08-21T11:36:36.344-05:00[America/Chicago] testuser Successful
2019-08-22T07:31:47.332-05:00[America/Chicago] testuser Successful
2019-08-22T07:33:09.476-05:00[America/Chicago] testuser Successful
2019-08-22T07:46:17.510-05:00[America/Chicago] testuser Successful
2019-08-22T07:47:29.927-05:00[America/Chicago] testuser Successful
2019-08-22T07:51:55.760-05:00[America/Chicago] testuser Successful
2019-08-22T08:03:09.996-05:00[America/Chicago] testuser Successful
2019-08-22T08:06:04.376-05:00[America/Chicago] testuser Successful
2019-08-22T12:38:53.605-05:00[America/Chicago] testuser Successful
2019-08-22T12:41:05.910-05:00[America/Chicago] testuser Successful
2019-08-22T12:50:17.428-05:00[America/Chicago] testuser Successful
2019-08-22T12:58:42.770-05:00[America/Chicago] testuser Successful
2019-08-22T14:23:28.815-05:00[America/Chicago] testuser Successful
2019-08-22T14:25:12.389-05:00[America/Chicago] testuser Successful
2019-08-22T14:26:17.973-05:00[America/Chicago] testuser Successful
2019-08-22T14:28:09.741-05:00[America/Chicago] testuser Failed
2019-08-22T14:28:15.641-05:00[America/Chicago] testuser Successful
2019-08-22T14:34:49.025-05:00[America/Chicago] testuser Successful
2019-08-22T14:47:01.381-05:00[America/Chicago] testuser Successful
2019-08-22T14:53:42.071-05:00[America/Chicago] testuser Successful
2019-08-22T14:56:32.254-05:00[America/Chicago] testuser Successful
2019-08-22T15:01:35.194-05:00[America/Chicago] testuser Successful
2019-08-22T15:08:30.275-05:00[America/Chicago] testuser Successful
2019-08-22T15:09:47.908-05:00[America/Chicago] testuser Successful
2019-08-22T15:20:26.867-05:00[America/Chicago] testuser Successful
2019-08-22T15:27:51.494-05:00[America/Chicago] testuser Successful
2019-08-22T15:32:40.202-05:00[America/Chicago] testuser Successful
2019-09-03T16:35:59.567-05:00[America/Chicago] testuser Successful
2019-09-03T16:49:13.865-05:00[America/Chicago] testuser Successful
2019-09-03T16:51:27.167-05:00[America/Chicago] testuser Successful
2019-09-03T17:03:24.553-05:00[America/Chicago] testuser Successful
2019-09-03T17:05:46.994-05:00[America/Chicago] testuser Successful
2019-09-03T17:15:58.545-05:00[America/Chicago] testuser Successful
2019-09-03T17:17:03.757-05:00[America/Chicago] testuser Successful
2019-09-03T17:31:03.926-05:00[America/Chicago] testuser Successful
2019-09-03T18:13:52.939-05:00[America/Chicago] testuser Successful
2019-09-17T09:37:17.145-05:00[America/Chicago] testuser Successful
2019-09-17T11:02:23.669-05:00[America/Chicago] testuser Successful
2019-09-17T11:02:55.382-05:00[America/Chicago] testuser Successful
2019-09-17T11:03:48.278-05:00[America/Chicago] testuser Successful
2019-09-17T11:14:20.616-05:00[America/Chicago] testuser Successful
2019-09-17T11:23:57.900-05:00[America/Chicago] testuser Successful
2019-09-17T12:25:05.019-05:00[America/Chicago] testuser Successful
2019-09-17T12:25:59.602-05:00[America/Chicago] testuser Successful
2019-09-17T12:28:37.097-05:00[America/Chicago] testuser Successful
2019-09-17T12:38:21.465-05:00[America/Chicago] testuser Successful
2019-09-17T12:57:55.916-05:00[America/Chicago] testuser Successful
2019-09-17T13:02:07.152-05:00[America/Chicago] testuser Successful
2019-09-17T13:05:04.435-05:00[America/Chicago] testuser Successful
2019-09-17T13:13:26.017-05:00[America/Chicago] testuser Successful
2019-09-17T13:14:10.155-05:00[America/Chicago] testuser Successful
2019-09-17T14:18:51.933-05:00[America/Chicago] testuser Successful
2019-09-17T15:09:11.410-05:00[America/Chicago] testuser Successful
2019-09-17T15:12:53.082-05:00[America/Chicago] testuser Successful
2019-09-17T15:13:47.841-05:00[America/Chicago] testuser Successful
2019-09-17T15:14:20.211-05:00[America/Chicago] testuser Successful
2019-09-17T15:35:59.537-05:00[America/Chicago] testuser Successful
2019-09-17T15:45:56.675-05:00[America/Chicago] testuser Successful
2019-09-17T15:53:24.988-05:00[America/Chicago] testuser Failed
2019-09-17T15:53:29.669-05:00[America/Chicago] testuser Successful
2019-09-17T15:57:49.612-05:00[America/Chicago] testuser Successful
2019-09-17T16:00:31.604-05:00[America/Chicago] testuser Successful
2019-09-18T09:08:22.032-05:00[America/Chicago] testuser Successful
2019-09-18T10:07:00.705-05:00[America/Chicago] testuser Successful
2019-09-18T10:31:04.812-05:00[America/Chicago] testuser Successful
2019-09-18T10:37:49.619-05:00[America/Chicago] testuser Successful
2019-09-18T12:28:00.768-05:00[America/Chicago] testuser Successful
2019-09-18T12:36:43.852-05:00[America/Chicago] testuser Successful
2019-09-18T12:55:19.995-05:00[America/Chicago] testuser Successful
2019-09-18T12:56:30.870-05:00[America/Chicago] testuser Successful
2019-09-18T13:07:13.828-05:00[America/Chicago] testuser Successful
2019-09-18T13:25:44.623-05:00[America/Chicago] testuser Successful
2019-09-18T13:29:50.828-05:00[America/Chicago] testuser Successful
2019-09-18T13:32:08.114-05:00[America/Chicago] testuser Successful
2019-09-18T13:33:26.918-05:00[America/Chicago] testuser Successful
2019-09-18T14:05:05.895-05:00[America/Chicago] testuser Successful
2019-09-18T17:36:31.771-05:00[America/Chicago] testuser Successful
2019-09-18T17:40:40.909-05:00[America/Chicago] testuser Successful
2019-09-18T17:45:20.363-05:00[America/Chicago] testuser Successful
2019-09-18T18:12:12.799-05:00[America/Chicago] testuser Successful
2019-09-19T14:14:58.263-05:00[America/Chicago] testuser Successful
2019-09-19T14:15:42.876-05:00[America/Chicago] testuser Successful
2019-09-19T14:46:45.873-05:00[America/Chicago] testuser Successful
2019-09-19T14:57:07.803-05:00[America/Chicago] testuser Successful
2019-09-19T15:00:46.404-05:00[America/Chicago] testuser Successful
2019-09-19T15:01:52.242-05:00[America/Chicago] testuser Successful
2019-09-19T16:05:21.858-05:00[America/Chicago] testuser Successful
2019-09-20T09:09:31.907-05:00[America/Chicago] testuser Successful
2019-09-20T09:23:41.992-05:00[America/Chicago] testuser Successful
2019-09-20T12:23:15.754-05:00[America/Chicago] testuser Successful
2019-09-20T15:30:30.520-05:00[America/Chicago] testuser Successful
2019-09-20T15:43:07.187-05:00[America/Chicago] testuser Successful
2019-09-20T15:47:57.764-05:00[America/Chicago] testuser Successful
2019-09-20T15:49:32.344-05:00[America/Chicago] testuser Successful
2019-09-20T15:51:25.033-05:00[America/Chicago] testuser Successful
2019-09-20T16:08:14.991-05:00[America/Chicago] testuser Successful
2019-09-20T16:11:22.582-05:00[America/Chicago] testuser Successful
2019-09-20T17:09:42.758-05:00[America/Chicago] testuser Successful
2019-09-20T17:11:34.639-05:00[America/Chicago] testuser Failed
2019-09-20T17:11:39.789-05:00[America/Chicago] testuser Successful
2019-09-20T17:25:08.633-05:00[America/Chicago] testuser Successful
2019-09-20T18:17:53.031-05:00[America/Chicago] testuser Successful
2019-09-20T18:22:37.140-05:00[America/Chicago] testuser Successful
2019-09-20T18:26:22.931-05:00[America/Chicago] testuser Successful
2019-09-20T17:53:29.894-06:00[America/Denver] testuser Successful
2019-09-20T19:02:59.334-05:00[America/Chicago] testuser Successful
2019-09-20T19:08:41.324-05:00[America/Chicago] testuser Successful
2019-09-20T19:11:40.869-05:00[America/Chicago] testuser Successful
2019-09-20T19:21:34.568-05:00[America/Chicago] testuser Successful
2019-09-20T19:23:40.662-05:00[America/Chicago] testuser Failed
2019-09-20T19:23:47.212-05:00[America/Chicago] testuser Successful
2019-09-20T19:28:29.716-05:00[America/Chicago] testuser Successful
2019-09-20T19:35:01.153-05:00[America/Chicago] testuser Successful
2019-09-20T21:16:01.555-05:00[America/Chicago] testuser Successful
2019-09-20T21:21:16.709-05:00[America/Chicago] testuser Successful
2019-09-20T21:24:37.696-05:00[America/Chicago] testuser Successful
2019-09-20T21:25:47.217-05:00[America/Chicago] testuser Successful
2019-09-21T20:09:30.360-05:00[America/Chicago] testuser Successful
2019-09-21T20:10:55.983-05:00[America/Chicago] testuser Successful
2019-09-21T20:13:50.833-05:00[America/Chicago] testuser Successful
2019-09-21T20:17:09.082-05:00[America/Chicago] testuser Successful
2019-09-21T20:19:50.688-05:00[America/Chicago] testuser Successful
2019-09-21T20:35:47.577-05:00[America/Chicago] testuser Successful
2019-09-21T20:37:47.094-05:00[America/Chicago] testuser Successful
2019-09-21T20:42:43.425-05:00[America/Chicago] testuser Successful
2019-09-21T20:43:11.853-05:00[America/Chicago] testuser Successful
2019-09-21T20:57:32.015-05:00[America/Chicago] testuser Successful
2019-09-21T20:58:31.891-05:00[America/Chicago] testuser Successful
2019-09-21T21:00:45.302-05:00[America/Chicago] testuser Successful
2019-09-21T21:04:38.772-05:00[America/Chicago] testuser Successful
2019-09-21T21:05:59.145-05:00[America/Chicago] testuser Successful
2019-09-21T21:11:08.479-05:00[America/Chicago] testuser Successful
2019-09-23T15:05:52.434-05:00[America/Chicago] testuser Successful
2019-09-23T17:17:03.006-05:00[America/Chicago] testuser Successful
2019-09-28T18:49:24.571-05:00[America/Chicago] testuser Successful
2019-09-28T19:03:51.143-05:00[America/Chicago] testuser Successful
2019-09-28T19:08:02.384-05:00[America/Chicago] testuser Successful
2019-09-28T19:10:57.720-05:00[America/Chicago] testuser Successful
2019-09-28T19:12:03.370-05:00[America/Chicago] testuser Failed
2019-09-28T19:12:08.963-05:00[America/Chicago] testuser Successful
2019-09-29T11:53:31.972-05:00[America/Chicago] testuser Successful
2019-10-01T13:04:18.148-05:00[America/Chicago] testuser Successful
2019-10-01T13:09:09.144-05:00[America/Chicago] testuser Failed
2019-10-01T13:09:13.831-05:00[America/Chicago] testuser Successful
2019-10-01T13:11:14.975-05:00[America/Chicago] testuser Successful
2019-10-01T13:11:53.483-05:00[America/Chicago] testuser Successful
2019-10-01T13:16:25.816-05:00[America/Chicago] testuser Successful
2019-10-01T13:19:59.259-05:00[America/Chicago] testuser Successful
2019-10-09T13:57:01.617-05:00[America/Chicago] testuser Successful
2019-10-09T13:57:44.580-05:00[America/Chicago] testuser Successful
